DEBUG 2019-04-22 22:28:08,606 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2019-04-22 22:28:08,793 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: GSoft.AbpZeroTemplate.EntityFrameworkCore.AbpZeroTemplateEntityFrameworkCoreModule, GSoft.AbpZeroTemplate.EntityFrameworkCore, Version=5.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: GWebsite.AbpZeroTemplate.EntityFrameworkCore.GWebsiteEntityFrameworkCoreModule, GWebsite.AbpZeroTemplate.EntityFrameworkCore, Version=5.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFrameworkCore.AbpZeroCoreEntityFrameworkCoreModule, Abp.ZeroCore.EntityFrameworkCore, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule, Abp.EntityFrameworkCore, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,794 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.IdentityServer4.AbpZeroCoreIdentityServerEntityFrameworkCoreModule, Abp.ZeroCore.IdentityServer4.EntityFrameworkCore, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,795 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.IdentityServer4.AbpZeroCoreIdentityServerModule, Abp.ZeroCore.IdentityServer4, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,795 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: GWebsite.AbpZeroTemplate.Application.GWebsiteCoreModule, GWebsite.AbpZeroTemplate.Core, Version=5.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,795 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetZeroCore.Web.AbpAspNetZeroCoreWebModule, Abp.AspNetZeroCore.Web, Version=1.1.3.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,795 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.AbpAspNetCoreModule, Abp.AspNetCore, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,796 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,796 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule, Abp.AspNetCore.SignalR, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,796 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Runtime.Caching.Redis.AbpRedisCacheModule, Abp.RedisCache, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,796 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Hangfire.AbpHangfireAspNetCoreModule, Abp.HangFire.AspNetCore, Version=3.7.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,796 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: GWebsite.AbpZeroTemplate.Web.Core.GWebsiteWebCoreModule, GWebsite.AbpZeroTemplate.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:08,800 [1    ] Abp.Modules.AbpModuleManager             - 27 modules loaded.
DEBUG 2019-04-22 22:28:08,954 [1    ] o.Configuration.LanguageManagementConfig - Converted Abp (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-04-22 22:28:08,954 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-04-22 22:28:08,954 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpZeroTemplate (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-04-22 22:28:08,954 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpWeb (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-04-22 22:28:09,361 [1    ] ameworkCore.AbpEntityFrameworkCoreModule - Registering DbContext: GSoft.AbpZeroTemplate.EntityFrameworkCore.AbpZeroTemplateDbContext, GSoft.AbpZeroTemplate.EntityFrameworkCore, Version=5.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-04-22 22:28:10,149 [1    ] Abp.Localization.LocalizationManager     - Initializing 4 localization sources.
DEBUG 2019-04-22 22:28:10,192 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: Abp
DEBUG 2019-04-22 22:28:10,208 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpZero
DEBUG 2019-04-22 22:28:10,253 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpZeroTemplate
DEBUG 2019-04-22 22:28:10,266 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpWeb
DEBUG 2019-04-22 22:28:10,308 [1    ] Abp.BackgroundJobs.BackgroundJobManager  - Start background worker: Abp.BackgroundJobs.BackgroundJobManager
DEBUG 2019-04-22 22:28:10,360 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 14 classes define auto mapping attributes
DEBUG 2019-04-22 22:28:10,360 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Models.TokenAuth.ExternalLoginProviderInfoModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Friendships.Cache.FriendCacheItem
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Models.TenantRegistration.EditionsSelectViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Models.TenantRegistration.TenantRegisterResultViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Users.CreateOrEditUserModalViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Users.UserPermissionsEditViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Tenants.TenantFeaturesEditViewModel
DEBUG 2019-04-22 22:28:10,364 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.SubscriptionManagement.PaymentResultViewModel
DEBUG 2019-04-22 22:28:10,365 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Roles.CreateOrEditRoleModalViewModel
DEBUG 2019-04-22 22:28:10,365 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Profile.MySettingsViewModel
DEBUG 2019-04-22 22:28:10,365 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.OrganizationUnits.EditOrganizationUnitModalViewModel
DEBUG 2019-04-22 22:28:10,365 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Languages.CreateOrEditLanguageModalViewModel
DEBUG 2019-04-22 22:28:10,365 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - GSoft.AbpZeroTemplate.Web.Areas.AppAreaName.Models.Editions.CreateOrEditEditionModalViewModel
DEBUG 2019-04-22 22:28:14,795 [1    ] enancy.SubscriptionExpirationCheckWorker - Start background worker: GSoft.AbpZeroTemplate.MultiTenancy.SubscriptionExpirationCheckWorker
DEBUG 2019-04-22 22:28:14,796 [1    ] cy.SubscriptionExpireEmailNotifierWorker - Start background worker: GSoft.AbpZeroTemplate.MultiTenancy.SubscriptionExpireEmailNotifierWorker
INFO  2019-04-22 22:28:15,854 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2019-04-22 22:28:16,861 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action GSoft.AbpZeroTemplate.Web.Controllers.HomeController.Index (GSoft.AbpZeroTemplate.Web.Mvc)
INFO  2019-04-22 22:28:17,107 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method GSoft.AbpZeroTemplate.Web.Controllers.HomeController.Index (GSoft.AbpZeroTemplate.Web.Mvc) with arguments (, False) - Validation state: Valid
INFO  2019-04-22 22:28:17,115 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method GSoft.AbpZeroTemplate.Web.Controllers.HomeController.Index (GSoft.AbpZeroTemplate.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.RedirectToActionResult in 6.0321ms.
INFO  2019-04-22 22:28:17,364 [4    ] ft.AspNetCore.Mvc.RedirectToActionResult - Executing RedirectResult, redirecting to /Account/Login.
INFO  2019-04-22 22:28:17,376 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action GSoft.AbpZeroTemplate.Web.Controllers.HomeController.Index (GSoft.AbpZeroTemplate.Web.Mvc) in 512.1505ms
INFO  2019-04-22 22:28:17,452 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1604.5127ms 302 
INFO  2019-04-22 22:28:17,453 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Account/Login  
INFO  2019-04-22 22:28:17,469 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Login", controller = "Account", area = ""}. Executing action GSoft.AbpZeroTemplate.Web.Controllers.AccountController.Login (GSoft.AbpZeroTemplate.Web.Mvc)
INFO  2019-04-22 22:28:17,852 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method GSoft.AbpZeroTemplate.Web.Controllers.AccountController.Login (GSoft.AbpZeroTemplate.Web.Mvc) with arguments (, , , ) - Validation state: Valid
INFO  2019-04-22 22:28:17,933 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method GSoft.AbpZeroTemplate.Web.Controllers.AccountController.Login (GSoft.AbpZeroTemplate.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 81.3561ms.
INFO  2019-04-22 22:28:17,997 [4    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Login.
INFO  2019-04-22 22:28:18,742 [4    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Login executed in 795.5335ms.
INFO  2019-04-22 22:28:18,742 [4    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action GSoft.AbpZeroTemplate.Web.Controllers.AccountController.Login (GSoft.AbpZeroTemplate.Web.Mvc) in 1273.6657ms
INFO  2019-04-22 22:28:18,752 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1299.6137ms 200 text/html; charset=utf-8
INFO  2019-04-22 22:28:18,767 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Areas/AppAreaName/Views/_Bundles/vendors.bundle.css?v=ASamK9YFQGysfCCNNFaivalesZNBp7u-ZoxVX_3YQ3M  
INFO  2019-04-22 22:28:18,769 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/metronic/dist/html/default/assets/demo/default/base/style.bundle.css?v=udySgHnD_W5JECrgDk_jM_Nv_-ERsTEINQ2sDcyeevQ&v=udySgHnD_W5JECrgDk_jM_Nv_-ERsTEINQ2sDcyeevQ  
INFO  2019-04-22 22:28:18,815 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Areas/AppAreaName/Views/_Bundles/vendors.bundle.css'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Areas\AppAreaName\Views\_Bundles\vendors.bundle.css'
INFO  2019-04-22 22:28:18,815 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 48.0367ms 200 text/css
INFO  2019-04-22 22:28:18,819 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Areas/AppAreaName/Views/_Bundles/account-layout-libs.css?v=47DEQpj8HBSa-_TImW-5JCeuQeRkm5NMpJWZG3hSuFU  
INFO  2019-04-22 22:28:18,821 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Areas/AppAreaName/Views/_Bundles/account-layout-libs.css'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Areas\AppAreaName\Views\_Bundles\account-layout-libs.css'
INFO  2019-04-22 22:28:18,821 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.483ms 200 text/css
INFO  2019-04-22 22:28:18,826 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Areas/AppAreaName/Views/_Bundles/common-styles.css?v=Zin-V2AN2Kvp9Mez_gl41u68VBbgRFnpWr7J_8h9ldM  
INFO  2019-04-22 22:28:18,828 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Areas/AppAreaName/Views/_Bundles/common-styles.css'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Areas\AppAreaName\Views\_Bundles\common-styles.css'
INFO  2019-04-22 22:28:18,829 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 2.2921ms 200 text/css
INFO  2019-04-22 22:28:18,836 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Views/Account/_Layout.css?v=Bt56mGrvlY25spH9xbMWA0WXjd6gysoBzkTsigAntXE  
INFO  2019-04-22 22:28:18,837 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Views/Account/_Layout.css'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Views\Account\_Layout.css'
INFO  2019-04-22 22:28:18,837 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.1543ms 200 text/css
INFO  2019-04-22 22:28:18,842 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/metronic/dist/html/default/assets/demo/default/base/style.bundle.css'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\metronic\dist\html\default\assets\demo\default\base\style.bundle.css'
INFO  2019-04-22 22:28:18,842 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 73.1286ms 200 text/css
INFO  2019-04-22 22:28:18,843 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Areas/AppAreaName/Views/_Bundles/account-layout-libs.js?v=47DEQpj8HBSa-_TImW-5JCeuQeRkm5NMpJWZG3hSuFU  
INFO  2019-04-22 22:28:18,845 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Areas/AppAreaName/Views/_Bundles/account-layout-libs.js'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Areas\AppAreaName\Views\_Bundles\account-layout-libs.js'
INFO  2019-04-22 22:28:18,845 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.7402ms 200 application/javascript
INFO  2019-04-22 22:28:18,850 [3    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=636915688913868402  
INFO  2019-04-22 22:28:18,875 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=636915688913868402  
INFO  2019-04-22 22:28:18,881 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)
INFO  2019-04-22 22:28:18,888 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)
INFO  2019-04-22 22:28:18,895 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) with arguments () - Validation state: Valid
INFO  2019-04-22 22:28:18,923 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) with arguments (Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) - Validation state: Valid
INFO  2019-04-22 22:28:18,946 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Areas/AppAreaName/Views/_Bundles/common-scripts.js?v=RR6r_jf5yl-rFmw1d3kDic48ClDMfeK9mhW3CSoUCzw  
INFO  2019-04-22 22:28:18,947 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Areas/AppAreaName/Views/_Bundles/common-scripts.js'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Areas\AppAreaName\Views\_Bundles\common-scripts.js'
INFO  2019-04-22 22:28:18,947 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.2499ms 200 application/javascript
INFO  2019-04-22 22:28:18,953 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Common/Scripts/_empty.js?v=9nBIoscZNpd_d6CmU8ELfANQ63BbUkDGq85hjxF2fXM&v=9nBIoscZNpd_d6CmU8ELfANQ63BbUkDGq85hjxF2fXM  
INFO  2019-04-22 22:28:18,954 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/Common/Scripts/_empty.js'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\Common\Scripts\_empty.js'
INFO  2019-04-22 22:28:18,954 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.1772ms 200 application/javascript
INFO  2019-04-22 22:28:18,960 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Views/Shared/Components/TenantChange/Default.js  
INFO  2019-04-22 22:28:18,961 [8    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Views/Shared/Components/TenantChange/Default.js'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Views\Shared\Components\TenantChange\Default.js'
INFO  2019-04-22 22:28:18,961 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.5873ms 200 application/javascript
INFO  2019-04-22 22:28:18,966 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/view-resources/Views/Account/Login.js?v=R8wEVHRUgae5KVIOfGSlexYcDu3eTBMm2ug_5bEGqS0  
INFO  2019-04-22 22:28:18,967 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/view-resources/Views/Account/Login.js'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\view-resources\Views\Account\Login.js'
INFO  2019-04-22 22:28:18,968 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1.3582ms 200 application/javascript
INFO  2019-04-22 22:28:18,972 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Common/Images/app-logo-on-light.png  
INFO  2019-04-22 22:28:19,007 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/Common/Images/app-logo-on-light.png'. Physical path: 'D:\hoc\ASP.net\PMCS\7\AssetManagement\aspnet-core\src\GSoft.AbpZeroTemplate.Web.Mvc\wwwroot\Common\Images\app-logo-on-light.png'
INFO  2019-04-22 22:28:19,007 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 35.0818ms 200 image/png
INFO  2019-04-22 22:28:19,067 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 172.3538ms.
INFO  2019-04-22 22:28:19,072 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 149.0124ms.
INFO  2019-04-22 22:28:19,072 [9    ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2019-04-22 22:28:19,072 [9    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 184.402ms
INFO  2019-04-22 22:28:19,072 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 196.8282ms 200 application/x-javascript; charset=utf-8
INFO  2019-04-22 22:28:19,073 [3    ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2019-04-22 22:28:19,073 [3    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 192.1954ms
INFO  2019-04-22 22:28:19,073 [3    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 223.3606ms 200 application/x-javascript
INFO  2019-04-22 22:28:19,141 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/metronic/dist/html/default/assets/demo/default/media/img/bg/bg-4.jpg  
INFO  2019-04-22 22:28:19,146 [8    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/fonts/Poppins/poppins-v5-devanagari_latin-ext_latin-regular.woff2  
INFO  2019-04-22 22:28:19,146 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/fonts/Poppins/poppins-v5-devanagari_latin-ext_latin-300.woff2  
